ID,name,description,p,s,label,software,filter,study
1,allocate_tokens_for_keyspace,Triggers automatic allocation of num_tokens tokens for this node. The allocation algorithm attempts to choose tokens in a way that optimizes replicated load over the nodes in the datacenter for the replication strategy used by the specified keyspace.,1,4,limited-side-effect,cassandra,0,0
2,authenticator,"Authentication backend, implementing IAuthenticator; used to identify users Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthenticator, PasswordAuthenticator}.",0,0,others,cassandra,0,0
3,authorizer,"Authorization backend, implementing IAuthorizer; used to limit access/provide permissions Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthorizer, CassandraAuthorizer}.",0,0,others,cassandra,0,0
4,auto_snapshot,Whether or not a snapshot is taken of the data before keyspace truncation or dropping of column families.,1,3,reliability-tradeoff,cassandra,0,0
5,back_pressure_enabled,"If enabled, the coordinator will apply the back-pressure strategy specified below to each mutation sent to replicas, with the aim of reducing pressure on overloaded replicas.",1,4,limited-side-effect,cassandra,0,0
6,batch_size_fail_threshold_in_kb,Fail any multiple-partition batch exceeding this value.,0,0,others,cassandra,0,0
7,batch_size_warn_threshold_in_kb,Log WARN on any multiple-partition batch size exceeding this value.,1,5,workload-specific,cassandra,0,0
8,batchlog_replay_throttle_in_kb,"Maximum throttle in KBs per second, total. This will be reduced proportionally to the number of nodes in the cluster.",1,1,resource,cassandra,0,1
9,broadcast_address,Address to broadcast to other Cassandra nodes Leaving this blank will set it to the same value as listen_address,0,0,others,cassandra,0,0
10,broadcast_rpc_address,RPC address to broadcast to drivers and other Cassandra nodes.,0,0,others,cassandra,0,0
11,cas_contention_timeout_in_ms,How long a coordinator should continue to retry a CAS operation that contends with other proposals for the same row,0,0,others,cassandra,0,1
12,cdc_enabled,Enable / disable CDC functionality on a per-node basis.,0,0,others,cassandra,0,0
13,cdc_free_space_check_interval_ms,"When we hit our cdc_raw limit and the CDCCompactor is either running behind or experiencing backpressure, we check at the following interval to see if any new space for cdc-tracked tables has been made available.",1,5,workload-specific,cassandra,0,0
