ID,name,description,p,s,label,software
8,batchlog_replay_throttle_in_kb,"Maximum throttle in KBs per second, total. This will be reduced proportionally to the number of nodes in the cluster.",1,1,resource,cassandra
11,cas_contention_timeout_in_ms,How long a coordinator should continue to retry a CAS operation that contends with other proposals for the same row,0,0,others,cassandra
15,cdc_total_space_in_mb,Total space to use for change-data-capture logs on disk.,0,0,others,cassandra
16,cluster_name,The name of the cluster. This is mainly used to prevent machines in one logical cluster from joining another.,0,0,others,cassandra
19,commit_failure_policy,Policy for commit disk failures,1,3,reliability-tradeoff,cassandra
20,commitlog_compression,"Compression to apply to the commit log. If omitted, the commit log will be written uncompressed.",1,4,limited-side-effect,cassandra
21,commitlog_directory,"commit log. when running on magnetic HDD, this should be a separate spindle than the data directories.",0,0,others,cassandra
23,commitlog_sync,"When in batch mode, Cassandra won¡¯t ack writes until the commit log has been fsynced to disk. It will wait commitlog_sync_batch_window_in_ms milliseconds between fsyncs. This window should be kept short because the writer threads will be unable to do extra work while waiting.",1,3,reliability-tradeoff,cassandra
25,compaction_large_partition_warning_threshold_mb,Log a warning when compacting partitions larger than this value,1,5,workload-specific,cassandra
33,counter_cache_size_in_mb,Maximum size of the counter cache in memory.,1,1,resource,cassandra
49,hinted_handoff_enabled,"If a write is made and a replica node for the key is down (and hinted_handoff_enabled == true), Cassandra will write a hint.",1,6,function-tradeoff,cassandra
57,index_summary_resize_interval_in_minutes,How frequently index summaries should be resampled. This is done periodically to redistribute memory from the fixed-size pool to sstables proportional their recent read rates.,1,5,workload-specific,cassandra
61,internode_compression,internode_compression controls whether traffic between nodes is compressed,1,4,limited-side-effect,cassandra
62,key_cache_keys_to_save,"Number of keys from the key cache to save. Disabled by default, meaning all keys are going to be saved",1,1,resource,cassandra
75,memtable_flush_writers,This sets the number of memtable flush writer threads per disk as well as the total number of memtables that can be flushed concurrently. These are generally a combination of compute and IO bound.,1,1,resource,cassandra
81,native_transport_port,"port for the CQL native transport to listen for clients on For security reasons, you should not expose this port to the internet.",0,0,others,cassandra
97,row_cache_class_name,Row cache implementation class name.,0,0,others,cassandra
101,rpc_address,The address or interface to bind the native transport server to.,0,0,others,cassandra
102,rpc_interface,"Set rpc_address OR rpc_interface, not both. Interfaces must correspond to a single address, IP aliasing is not supported.",0,0,others,cassandra
103,rpc_interface_prefer_ipv6,If you choose to specify the interface by name and the interface has an ipv4 and an ipv6 address you can specify which should be chosen using rpc_interface_prefer_ipv6.,0,0,others,cassandra
107,snapshot_before_compaction,"Whether or not to take a snapshot before each compaction. Be careful using this option, since Cassandra won't clean up the snapshots for you. Mostly useful if you're paranoid when there is a data format change.",1,3,reliability-tradeoff,cassandra
109,sstable_preemptive_open_interval_in_mb,"When compacting, the replacement sstable(s) can be opened before they are completely written, and used in place of the prior sstables for any range that has been written. This helps to smoothly transfer reads between the sstables, reducing page cache churn and keeping hot rows hot",1,1,resource,cassandra
110,start_native_transport,Whether to start the native transport server.,0,0,others,cassandra
112,tracetype_query_ttl,TTL for different trace types used during logging of the repair process.,0,0,others,cassandra
114,trickle_fsync,"Whether to, when doing sequential writing, fsync() at intervals in order to force the operating system to flush the dirty buffers. Enable this to avoid sudden dirty buffer flushing from impacting read latencies.",1,3,reliability-tradeoff,cassandra
119,-arcmt-migrate-emit-errors,Emit ARC errors even if the migrator can fix them,1,6,function-tradeoff,clang
125,-cl-denorms-are-zero,OpenCL only. Allow denormals to be flushed to zero.,1,4,limited-side-effect,clang
137,-cl-unsafe-math-optimizations,OpenCL only. Allow unsafe floating-point optimizations. Also implies -cl-no-signed-zeros and -cl-mad-enable.,1,4,limited-side-effect,clang
143,--cuda-include-ptx,Include PTX for the following GPU architecture (e.g. sm_35) or 'all'. May be specified more than once.,0,0,others,clang
144,--cuda-noopt-device-debug,Enable device-side debug info generation. Disables ptxas optimizations.,1,6,function-tradeoff,clang
151,-dependency-file,Filename (or -) to write dependency output to,0,0,others,clang
