ID,name,description,p,s,label,software
1,allocate_tokens_for_keyspace,Triggers automatic allocation of num_tokens tokens for this node. The allocation algorithm attempts to choose tokens in a way that optimizes replicated load over the nodes in the datacenter for the replication strategy used by the specified keyspace.,1,4,limited-side-effect,cassandra
2,authenticator,"Authentication backend, implementing IAuthenticator; used to identify users Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthenticator, PasswordAuthenticator}.",0,0,others,cassandra
3,authorizer,"Authorization backend, implementing IAuthorizer; used to limit access/provide permissions Out of the box, Cassandra provides org.apache.cassandra.auth.{AllowAllAuthorizer, CassandraAuthorizer}.",0,0,others,cassandra
4,auto_snapshot,Whether or not a snapshot is taken of the data before keyspace truncation or dropping of column families.,1,3,reliability-tradeoff,cassandra
5,back_pressure_enabled,"If enabled, the coordinator will apply the back-pressure strategy specified below to each mutation sent to replicas, with the aim of reducing pressure on overloaded replicas.",1,4,limited-side-effect,cassandra
6,batch_size_fail_threshold_in_kb,Fail any multiple-partition batch exceeding this value.,0,0,others,cassandra
7,batch_size_warn_threshold_in_kb,Log WARN on any multiple-partition batch size exceeding this value.,1,5,workload-specific,cassandra
9,broadcast_address,Address to broadcast to other Cassandra nodes Leaving this blank will set it to the same value as listen_address,0,0,others,cassandra
10,broadcast_rpc_address,RPC address to broadcast to drivers and other Cassandra nodes.,0,0,others,cassandra
12,cdc_enabled,Enable / disable CDC functionality on a per-node basis.,0,0,others,cassandra
13,cdc_free_space_check_interval_ms,"When we hit our cdc_raw limit and the CDCCompactor is either running behind or experiencing backpressure, we check at the following interval to see if any new space for cdc-tracked tables has been made available.",1,5,workload-specific,cassandra
14,cdc_raw_directory,CommitLogSegments are moved to this directory on flush if cdc_enabled: true and the segment contains mutations for a CDC-enabled table.,0,0,others,cassandra
17,column_index_cache_size_in_kb,Per sstable indexed key cache entries (the collation index in memory mentioned above) exceeding this size will not be held on heap.,1,1,resource,cassandra
18,column_index_size_in_kb,"Granularity of the collation index of rows within a partition. Increase if your rows are large, or if you have a very large number of rows per partition. The competing goals are these: a smaller granularity means more index entries are generated and looking up rows withing the partition by collation column is faste but, Cassandra will keep the collation index in memory for hot rows (as part of the key cache), so a larger granularity means you can cache more hot rows",1,5,workload-specific,cassandra
22,commitlog_segment_size_in_mb,"The size of the individual commitlog file segments. A commitlog segment may be archived, deleted, or recycled once all the data in it (potentially from each columnfamily in the system) has been flushed to sstables.",1,3,reliability-tradeoff,cassandra
24,commitlog_total_space_in_mb,"Total space to use for commit logs on disk.If space gets above this value, Cassandra will flush every dirty CF in the oldest segment and remove it. So a small total commitlog space will tend to cause more flush activity on less-active columnfamilies.",1,3,reliability-tradeoff,cassandra
26,compaction_throughput_mb_per_sec,Throttles compaction to the given total throughput across the entire system.,1,5,workload-specific,cassandra
27,concurrent_compactors,"Number of simultaneous compactions to allow, NOT including validation ""compactions"" for anti-entropy repair. Simultaneous compactions can help preserve read performance in a mixed read/write workload, by mitigating the tendency of small sstables to accumulate during a single long running compactions. The default is usually fine and if you experience problems with compaction running too slowly or too fast, you should look at compaction_throughput_mb_per_sec first.",1,5,workload-specific,cassandra
28,concurrent_materialized_view_writes,"For materialized view writes, as there is a read involved, so this should be limited by the less of concurrent reads or concurrent writes.",1,1,resource,cassandra
29,concurrent_reads,concurrent_reads should be set to (16 * number_of_drives) in order to allow the operations to enqueue low enough in the stack that the OS and drives can reorder them.,1,1,resource,cassandra
30,concurrent_writes,"since writes are almost never IO bound, the ideal number of concurrent_writes is dependent on the number of cores in your system; (8 * number_of_cores) is a good rule of thumb.",1,1,resource,cassandra
31,counter_cache_keys_to_save,"Number of keys from the counter cache to save. Disabled by default, meaning all keys are going to be saved",1,1,resource,cassandra
32,counter_cache_save_period,Duration in seconds after which Cassandra should save the counter cache (keys only). Caches are saved to saved_caches_directory as specified in this configuration file.,1,5,workload-specific,cassandra
34,counter_write_request_timeout_in_ms,How long the coordinator should wait for counter writes to complete,0,0,others,cassandra
35,credentials_update_interval_in_ms,"Refresh interval for credentials cache (if enabled). After this interval, cache entries become eligible for refresh.",1,5,workload-specific,cassandra
36,credentials_validity_in_ms,"Please note, credentials are cached in their encrypted form, so while activating this cache may reduce the number of queries made to the underlying table, it may not bring a significant reduction in the latency of individual authentication attempts.",1,2,security-tradeoff,cassandra
37,cross_node_timeout,"Enable operation timeout information exchange between nodes to accurately measure request timeouts. If disabled, replicas will assume that requests were forwarded to them instantly by the coordinator, which means that under overload conditions we will waste that much extra time processing already-timed-out requests.",1,4,limited-side-effect,cassandra
38,data_file_directories,Directories where Cassandra should store data on disk.,0,0,others,cassandra
39,disk_failure_policy,Policy for data disk failures,0,0,others,cassandra
40,dynamic_snitch_reset_interval_in_ms,"controls how often to reset all host scores, allowing a bad host to possibly recover",1,5,workload-specific,cassandra
41,dynamic_snitch_update_interval_in_ms,controls how often to perform the more expensive part of host score calculation,1,5,workload-specific,cassandra
42,enable_scripted_user_defined_functions,Enables scripted UDFs (JavaScript UDFs).,0,0,others,cassandra
43,enable_user_defined_functions,"If unset, all GC Pauses greater than gc_log_threshold_in_ms will log at INFO level. UDFs (user defined functions) are disabled by default.",1,6,function-tradeoff,cassandra
44,endpoint_snitch,Set this to a class that implements IEndpointSnitch.,0,0,others,cassandra
45,file_cache_size_in_mb,Maximum memory to use for sstable chunk cache and buffer pooling.,1,1,resource,cassandra
46,gc_log_threshold_in_ms,GC Pauses greater than 200 ms will be logged at INFO level This threshold can be adjusted to minimize logging if necessary,1,5,workload-specific,cassandra
47,gc_warn_threshold_in_ms,GC Pauses greater than gc_warn_threshold_in_ms will be logged at WARN level,1,5,workload-specific,cassandra
48,hinted_handoff_disabled_datacenters,"When hinted_handoff_enabled is true, a black list of data centers that will not perform hinted handoff",0,0,others,cassandra
50,hinted_handoff_throttle_in_kb,"Maximum throttle in KBs per second, per delivery thread. This will be reduced proportionally to the number of nodes in the cluster.",1,1,resource,cassandra
51,hints_compression,"Compression to apply to the hint files. If omitted, hints files will be written uncompressed. LZ4, Snappy, and Deflate compressors are supported.",1,4,limited-side-effect,cassandra
52,hints_directory,"Directory where Cassandra should store hints. If not set, the default directory is $CASSANDRA_HOME/data/hints.",0,0,others,cassandra
53,hints_flush_period_in_ms,How often hints should be flushed from the internal buffers to disk. Will not trigger fsync.,1,3,reliability-tradeoff,cassandra
54,ideal_consistency_level,Track a metric per keyspace indicating whether replication achieved the ideal consistency level for writes without timing out. This is different from the consistency level requested by each write which may be lower in order to facilitate availability.,1,6,function-tradeoff,cassandra
55,incremental_backups,Set to true to have Cassandra create a hard link to each sstable flushed or streamed locally in a backups/ subdirectory of the keyspace data. Removing these links is the operator's responsibility.,0,0,others,cassandra
56,index_summary_capacity_in_mb,A fixed memory pool size in MB for for SSTable index summaries.,1,1,resource,cassandra
58,initial_token,"initial_token allows you to specify tokens manually. While you can use it with vnodes (num_tokens > 1, above) in which case you should provide a comma-separated list it's primarily used when adding nodes to legacy clusters that do not have vnodes enabled.",0,0,others,cassandra
59,inter_dc_tcp_nodelay,"Enable or disable tcp_nodelay for inter-dc communication. Disabling it will result in larger (but fewer) network packets being sent, reducing overhead from the TCP protocol itself, at the cost of increasing latency if you block for cross-datacenter responses",1,4,limited-side-effect,cassandra
60,internode_authenticator,"Internode authentication backend, implementing IInternodeAuthenticator; used to allow/disallow connections from peer nodes.",0,0,others,cassandra
63,key_cache_save_period,"Duration in seconds after which Cassandra should save the key cache. Caches are saved to saved_caches_directory as specified in this configuration file. Saved caches greatly improve cold-start speeds, and is relatively cheap in terms of I/O for the key cache.",1,5,workload-specific,cassandra
64,key_cache_size_in_mb,"The key cache is fairly tiny for the amount of time it saves, so it's worthwhile to use it at large numbers. The row cache saves even more time, but must contain the entire row, so it is extremely space-intensive.",1,1,resource,cassandra
65,listen_address,Address or interface to bind to and tell other Cassandra nodes to connect to. You _must_ change this if you want multiple nodes to be able to communicate!,0,0,others,cassandra
66,listen_interface,"Set listen_address OR listen_interface, not both. Interfaces must correspond to a single address, IP aliasing is not supported.",0,0,others,cassandra
67,listen_interface_prefer_ipv6,If you choose to specify the interface by name and the interface has an ipv4 and an ipv6 address you can specify which should be chosen using listen_interface_prefer_ipv6.,0,0,others,cassandra
68,listen_on_broadcast_address,"When using multiple physical network interfaces, set this to true to listen on broadcast_address in addition to the listen_address, allowing nodes to communicate in both interfaces.",0,0,others,cassandra
69,max_hint_window_in_ms,"this defines the maximum amount of time a dead host will have hints generated. After it has been dead this long, new hints for it will not be created until it has been seen alive and gone down again.",0,0,others,cassandra
70,max_hints_delivery_threads,"Number of threads with which to deliver hints; Consider increasing this number when you have multi-dc deployments, since cross-dc handoff tends to be slower",1,5,workload-specific,cassandra
71,max_hints_file_size_in_mb,"Maximum size for a single hints file, in megabytes.",0,0,others,cassandra
72,max_value_size_in_mb,Maximum size of any value in SSTables. Safety measure to detect SSTable corruption early.,0,0,others,cassandra
73,memtable_allocation_type,Specify the way Cassandra allocates and manages memtable memory.,1,5,workload-specific,cassandra
74,memtable_cleanup_threshold,"Ratio of occupied non-flushing memtable size to total permitted size that will trigger a flush of the largest memtable. Larger mct will mean larger flushes and hence less compaction, but also less concurrent flush activity which can make it difficult to keep your disks fed under heavy write load.",1,5,workload-specific,cassandra
76,memtable_heap_space_in_mb,"Total permitted memory to use for memtables. Cassandra will stop accepting writes when the limit is exceeded until a flush completes, and will trigger a flush based on memtable_cleanup_threshold",1,3,reliability-tradeoff,cassandra
77,native_transport_max_concurrent_connections,The maximum number of concurrent client connections.,1,1,resource,cassandra
78,native_transport_max_concurrent_connections_per_ip,The maximum number of concurrent client connections per source ip.,1,1,resource,cassandra
79,native_transport_max_frame_size_in_mb,The maximum size of allowed frame. Frame (requests) larger than this will be rejected as invalid.,0,0,others,cassandra
80,native_transport_max_threads,The maximum threads for handling requests (note that idle threads are stopped after 30 seconds so there is not corresponding minimum setting).,1,1,resource,cassandra
82,native_transport_port_ssl,Setting native_transport_port_ssl to a different value from native_transport_port will use encryption for native_transport_port_ssl while keeping native_transport_port unencrypted.,1,2,security-tradeoff,cassandra
83,num_tokens,"This defines the number of tokens randomly assigned to this node on the ring The more tokens, relative to other nodes, the larger the proportion of data that this node will store.",0,0,others,cassandra
84,otc_backlog_expiration_interval_ms,How many milliseconds to wait between two expiration runs on the backlog (queue) of the OutboundTcpConnection.,0,0,others,cassandra
85,otc_coalescing_enough_coalesced_messages,Do not try to coalesce messages if we already got that many messages. This should be more than 2 and less than 128.,1,4,limited-side-effect,cassandra
86,otc_coalescing_window_us,How many microseconds to wait for coalescing. For fixed strategy this is the amount of time after the first message is received before it will be sent with any accompanying messages. For moving average this is the maximum amount of time that will be waited as well as the interval at which messages must arrive on average for coalescing to be enabled.,0,0,others,cassandra
87,partitioner,The partitioner is responsible for distributing groups of rows (by partition key) across nodes in the cluster. You should leave this alone for new clusters.,0,0,others,cassandra
88,permissions_update_interval_in_ms,"Refresh interval for permissions cache (if enabled). After this interval, cache entries become eligible for refresh. Upon next access, an async reload is scheduled and the old value returned until it completes.",0,0,others,cassandra
89,permissions_validity_in_ms,"Validity period for permissions cache (fetching permissions can be an expensive operation depending on the authorizer, CassandraAuthorizer is one example).",1,2,security-tradeoff,cassandra
